case_id,order_index,order,N,rep,seed,estimate,error,abs_error
gaussian_strong_d5,1,2-3-4,1024,89,930090,0.573044809556651,-0.0016209654369658821,0.0016209654369658821
gaussian_strong_d5,2,3-2-4,1024,89,930090,0.5719633711938501,-0.002702403799766828,0.002702403799766828
gaussian_strong_d5,3,3-4-2,1024,89,930090,0.5719633711938501,-0.002702403799766828,0.002702403799766828
gaussian_strong_d5,4,4-3-2,1024,89,930090,0.573044809556651,-0.0016209654369658821,0.0016209654369658821
gaussian_strong_d5,1,2-3-4,1024,90,930091,0.5755283936801202,0.0008626186865032803,0.0008626186865032803
gaussian_strong_d5,2,3-2-4,1024,90,930091,0.5753548429442611,0.0006890679506441622,0.0006890679506441622
gaussian_strong_d5,3,3-4-2,1024,90,930091,0.5753548429442611,0.0006890679506441622,0.0006890679506441622
gaussian_strong_d5,4,4-3-2,1024,90,930091,0.5755283936801202,0.0008626186865032803,0.0008626186865032803
gaussian_strong_d5,1,2-3-4,1024,91,930092,0.5787181720348752,0.00405239704125826,0.00405239704125826
gaussian_strong_d5,2,3-2-4,1024,91,930092,0.5777743000999418,0.0031085251063248664,0.0031085251063248664
gaussian_strong_d5,3,3-4-2,1024,91,930092,0.5777743000999418,0.0031085251063248664,0.0031085251063248664
gaussian_strong_d5,4,4-3-2,1024,91,930092,0.5787181720348752,0.00405239704125826,0.00405239704125826
gaussian_strong_d5,1,2-3-4,1024,92,930093,0.57828505868632,0.0036192836927030347,0.0036192836927030347
gaussian_strong_d5,2,3-2-4,1024,92,930093,0.5793943360678029,0.004728561074185955,0.004728561074185955
gaussian_strong_d5,3,3-4-2,1024,92,930093,0.5793943360678029,0.004728561074185955,0.004728561074185955
gaussian_strong_d5,4,4-3-2,1024,92,930093,0.57828505868632,0.0036192836927030347,0.0036192836927030347
gaussian_strong_d5,1,2-3-4,1024,93,930094,0.5693545921387302,-0.005311182854886742,0.005311182854886742
gaussian_strong_d5,2,3-2-4,1024,93,930094,0.5683609638349406,-0.006304811158676316,0.006304811158676316
gaussian_strong_d5,3,3-4-2,1024,93,930094,0.5683609638349406,-0.006304811158676316,0.006304811158676316
gaussian_strong_d5,4,4-3-2,1024,93,930094,0.5693545921387302,-0.005311182854886742,0.005311182854886742
gaussian_strong_d5,1,2-3-4,1024,94,930095,0.5685264724571237,-0.006139302536493196,0.006139302536493196
gaussian_strong_d5,2,3-2-4,1024,94,930095,0.5682157394366668,-0.006450035556950118,0.006450035556950118
gaussian_strong_d5,3,3-4-2,1024,94,930095,0.5682157394366668,-0.006450035556950118,0.006450035556950118
gaussian_strong_d5,4,4-3-2,1024,94,930095,0.5685264724571237,-0.006139302536493196,0.006139302536493196
gaussian_strong_d5,1,2-3-4,1024,95,930096,0.577322469210015,0.0026566942163980256,0.0026566942163980256
gaussian_strong_d5,2,3-2-4,1024,95,930096,0.5765701498736862,0.0019043748800692262,0.0019043748800692262
