case_id,order_index,order,N,rep,seed,estimate,error,abs_error,runtime_s
gaussian_rectangle_d5,2,3-2-4,256,16,1810017,0.12614797294916374,-1.2358376024507178e-5,1.2358376024507178e-5,0.001887084
gaussian_rectangle_d5,3,3-4-2,256,16,1810017,0.12616225268585918,1.9213606709256315e-6,1.9213606709256315e-6,0.001890917
gaussian_rectangle_d5,4,4-3-2,256,16,1810017,0.12616057220566795,2.4088047970161064e-7,2.4088047970161064e-7,0.001899208
gaussian_rectangle_d5,1,2-3-4,256,17,1810018,0.12614327339332865,-1.7057931859604247e-5,1.7057931859604247e-5,0.001976792
gaussian_rectangle_d5,2,3-2-4,256,17,1810018,0.12615843823112027,-1.8930940679784403e-6,1.8930940679784403e-6,0.001926042
gaussian_rectangle_d5,3,3-4-2,256,17,1810018,0.1261723573179088,1.2025992720543499e-5,1.2025992720543499e-5,0.001887375
gaussian_rectangle_d5,4,4-3-2,256,17,1810018,0.12616411774185962,3.7864166713696967e-6,3.7864166713696967e-6,0.001894459
gaussian_rectangle_d5,1,2-3-4,256,18,1810019,0.12618924046345725,2.890913826900099e-5,2.890913826900099e-5,0.001888875
gaussian_rectangle_d5,2,3-2-4,256,18,1810019,0.12615903203240386,-1.2992927843902269e-6,1.2992927843902269e-6,0.002028417
gaussian_rectangle_d5,3,3-4-2,256,18,1810019,0.12617287036164757,1.2539036459313646e-5,1.2539036459313646e-5,0.001929959
gaussian_rectangle_d5,4,4-3-2,256,18,1810019,0.1261713244094744,1.0993084286148314e-5,1.0993084286148314e-5,0.001894459
gaussian_rectangle_d5,1,2-3-4,256,19,1810020,0.12613485876181663,-2.5472563371625734e-5,2.5472563371625734e-5,0.001901625
gaussian_rectangle_d5,2,3-2-4,256,19,1810020,0.12613688704180537,-2.3444283382884068e-5,2.3444283382884068e-5,0.001930167
gaussian_rectangle_d5,3,3-4-2,256,19,1810020,0.12614460425832688,-1.572706686137071e-5,1.572706686137071e-5,0.001992834
gaussian_rectangle_d5,4,4-3-2,256,19,1810020,0.12614303609347627,-1.729523171198344e-5,1.729523171198344e-5,0.001953417
gaussian_rectangle_d5,1,2-3-4,256,20,1810021,0.12618056575780315,2.0234432614896214e-5,2.0234432614896214e-5,0.001911416
gaussian_rectangle_d5,2,3-2-4,256,20,1810021,0.12613920789243077,-2.112343275748052e-5,2.112343275748052e-5,0.001896417
gaussian_rectangle_d5,3,3-4-2,256,20,1810021,0.12617742758511738,1.7096259929128e-5,1.7096259929128e-5,0.008749375
gaussian_rectangle_d5,4,4-3-2,256,20,1810021,0.12617882105523945,1.8489730051196585e-5,1.8489730051196585e-5,0.001977917
gaussian_rectangle_d5,1,2-3-4,256,21,1810022,0.12617260150440932,1.2270179221063326e-5,1.2270179221063326e-5,0.001920625
gaussian_rectangle_d5,2,3-2-4,256,21,1810022,0.12616671615711747,6.384831929218127e-6,6.384831929218127e-6,0.001891417
gaussian_rectangle_d5,3,3-4-2,256,21,1810022,0.12614260974940242,-1.7721575785834e-5,1.7721575785834e-5,0.001902375
gaussian_rectangle_d5,4,4-3-2,256,21,1810022,0.1261336977273373,-2.663359785096131e-5,2.663359785096131e-5,0.001912167
gaussian_rectangle_d5,1,2-3-4,256,22,1810023,0.12613163731583332,-2.8694009354929273e-5,2.8694009354929273e-5,0.001887458
gaussian_rectangle_d5,2,3-2-4,256,22,1810023,0.1261306622199488,-2.966910523943822e-5,2.966910523943822e-5,0.001898292
gaussian_rectangle_d5,3,3-4-2,256,22,1810023,0.12614114656719824,-1.9184757990009516e-5,1.9184757990009516e-5,0.001899291
gaussian_rectangle_d5,4,4-3-2,256,22,1810023,0.12613275138733432,-2.75799378539332e-5,2.75799378539332e-5,0.001889458
gaussian_rectangle_d5,1,2-3-4,256,23,1810024,0.12616219067089848,1.859345710231164e-6,1.859345710231164e-6,0.001916792
gaussian_rectangle_d5,2,3-2-4,256,23,1810024,0.12616861568416338,8.284358975124695e-6,8.284358975124695e-6,0.00195125
gaussian_rectangle_d5,3,3-4-2,256,23,1810024,0.12615522791733325,-5.10340785500607e-6,5.10340785500607e-6,0.0019325
