case_id,design,model,point,d,conditioning_dimension,rule,N,rep,seed,method,estimate,reference,abs_error,generation_time_s,evaluation_time_s,total_runtime_s,generation_bytes,evaluation_bytes,generation_allocations,evaluation_allocations,hfunc_calls,hinv_calls,pair_cdf_calls
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,21,532263,current_indicator,0.20703125,0.21062050838014906,0.003589258380149063,1.7917e-5,0.000374791,0.000392708,31088,59264,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,21,532263,reduced_conditional,0.21632485774768645,0.21062050838014906,0.005704349367537387,1.9292e-5,0.000660417,0.0006797089999999999,31088,240,26,6,3840,768,256
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,22,532264,current_indicator,0.19921875,0.21062050838014906,0.011401758380149063,1.7625e-5,0.000369458,0.00038708300000000003,31088,59264,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,22,532264,reduced_conditional,0.2126176208695797,0.21062050838014906,0.0019971124894306302,1.7458e-5,0.000635417,0.000652875,31088,240,26,6,3840,768,256
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,23,532265,current_indicator,0.21484375,0.21062050838014906,0.004223241619850937,1.75e-5,0.000373334,0.000390834,31088,59264,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,23,532265,reduced_conditional,0.21107911537123375,0.21062050838014906,0.00045860699108468683,2.325e-5,0.000629375,0.0006526250000000001,31088,240,26,6,3840,768,256
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,24,532266,current_indicator,0.12890625,0.21062050838014906,0.08171425838014906,1.7542e-5,0.000366709,0.000384251,31088,59264,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,24,532266,reduced_conditional,0.19387881959431114,0.21062050838014906,0.016741688785837927,1.7458e-5,0.000621375,0.000638833,31088,240,26,6,3840,768,256
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,25,532267,current_indicator,0.15625,0.21062050838014906,0.05437050838014906,1.7625e-5,0.00037775,0.000395375,31088,59264,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,25,532267,reduced_conditional,0.20858797961067627,0.21062050838014906,0.0020325287694727967,1.9041e-5,0.000663,0.000682041,31088,240,26,6,3840,768,256
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,26,532268,current_indicator,0.1796875,0.21062050838014906,0.030933008380149063,1.7667e-5,0.00037275,0.000390417,31088,59264,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,26,532268,reduced_conditional,0.21240954203671988,0.21062050838014906,0.001789033656570821,1.7792e-5,0.000632667,0.0006504589999999999,31088,240,26,6,3840,768,256
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,27,532269,current_indicator,0.234375,0.21062050838014906,0.023754491619850937,1.7333e-5,0.000374083,0.000391416,31088,59264,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,27,532269,reduced_conditional,0.21958304281921667,0.21062050838014906,0.00896253443906761,1.8667e-5,0.000635459,0.000654126,31088,240,26,6,3840,768,256
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,28,532270,current_indicator,0.1796875,0.21062050838014906,0.030933008380149063,1.8125e-5,0.000377375,0.0003955,31088,59264,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,28,532270,reduced_conditional,0.2063086270863777,0.21062050838014906,0.004311881293771358,1.7583e-5,0.000632375,0.0006499580000000001,31088,240,26,6,3840,768,256
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,29,532271,current_indicator,0.19140625,0.21062050838014906,0.019214258380149063,1.7708e-5,0.000370666,0.00038837400000000003,31088,59264,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,29,532271,reduced_conditional,0.2065234904510136,0.21062050838014906,0.004097017929135471,1.95e-5,0.000631083,0.0006505829999999999,31088,240,26,6,3840,768,256
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,30,532272,current_indicator,0.21484375,0.21062050838014906,0.004223241619850937,1.7417e-5,0.000360333,0.00037775,31088,59264,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,30,532272,reduced_conditional,0.2038540795629437,0.21062050838014906,0.00676642881720535,1.9333e-5,0.000645,0.0006643329999999999,31088,240,26,6,3840,768,256
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,1,534243,current_indicator,0.21875,0.21062050838014906,0.008129491619850937,2.9417e-5,0.001484291,0.001513708,70000,266112,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,1,534243,reduced_conditional,0.21179974978430355,0.21062050838014906,0.0011792414041544852,2.9875e-5,0.002560375,0.00259025,70000,240,26,6,15360,3072,1024
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,2,534244,current_indicator,0.2021484375,0.21062050838014906,0.008472070880149063,2.825e-5,0.001497417,0.001525667,70000,266112,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,2,534244,reduced_conditional,0.20820494951670346,0.21062050838014906,0.002415558863445605,2.8166e-5,0.002509625,0.002537791,70000,240,26,6,15360,3072,1024
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,3,534245,current_indicator,0.21484375,0.21062050838014906,0.004223241619850937,2.7834e-5,0.001506125,0.001533959,70000,266112,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,3,534245,reduced_conditional,0.21224990270350175,0.21062050838014906,0.0016293943233526842,3.0208e-5,0.002552625,0.002582833,70000,240,26,6,15360,3072,1024
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,4,534246,current_indicator,0.1982421875,0.21062050838014906,0.012378320880149063,2.7833e-5,0.001532875,0.0015607079999999998,70000,266112,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,4,534246,reduced_conditional,0.20911443377636052,0.21062050838014906,0.001506074603788543,3.3583e-5,0.002542625,0.002576208,70000,240,26,6,15360,3072,1024
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,5,534247,current_indicator,0.18359375,0.21062050838014906,0.027026758380149063,3.3208e-5,0.001553166,0.001586374,70000,266112,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,5,534247,reduced_conditional,0.2054745614335494,0.21062050838014906,0.005145946946599672,3.6875e-5,0.0025105,0.002547375,70000,240,26,6,15360,3072,1024
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,6,534248,current_indicator,0.2177734375,0.21062050838014906,0.007152929119850937,3.2167e-5,0.001513291,0.001545458,70000,266112,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,6,534248,reduced_conditional,0.21181024249584732,0.21062050838014906,0.0011897341156982544,3.325e-5,0.002551875,0.0025851249999999997,70000,240,26,6,15360,3072,1024
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,7,534249,current_indicator,0.224609375,0.21062050838014906,0.013988866619850937,3.2958e-5,0.001508292,0.00154125,70000,266112,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,7,534249,reduced_conditional,0.21442603011143826,0.21062050838014906,0.003805521731289202,3.5042e-5,0.002541792,0.002576834,70000,240,26,6,15360,3072,1024
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,8,534250,current_indicator,0.2021484375,0.21062050838014906,0.008472070880149063,3.1875e-5,0.001527208,0.001559083,70000,266112,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,8,534250,reduced_conditional,0.21092691965607735,0.21062050838014906,0.00030641127592828665,3.225e-5,0.002511791,0.0025440410000000004,70000,240,26,6,15360,3072,1024
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,9,534251,current_indicator,0.20703125,0.21062050838014906,0.003589258380149063,3.3083e-5,0.001545125,0.001578208,70000,266112,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,9,534251,reduced_conditional,0.20975802107763633,0.21062050838014906,0.0008624873025127322,3.4334e-5,0.002547208,0.002581542,70000,240,26,6,15360,3072,1024
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,10,534252,current_indicator,0.2060546875,0.21062050838014906,0.004565820880149063,3.1833e-5,0.001586167,0.001618,70000,266112,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,10,534252,reduced_conditional,0.2065855338186479,0.21062050838014906,0.004034974561501176,3.3042e-5,0.002542459,0.002575501,70000,240,26,6,15360,3072,1024
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,11,534253,current_indicator,0.189453125,0.21062050838014906,0.021167383380149063,3.1459e-5,0.001507708,0.001539167,70000,266112,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,11,534253,reduced_conditional,0.2102982816587811,0.21062050838014906,0.00032222672136797414,3.3417e-5,0.002543375,0.002576792,70000,240,26,6,15360,3072,1024
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,12,534254,current_indicator,0.224609375,0.21062050838014906,0.013988866619850937,3.1875e-5,0.001512,0.001543875,70000,266112,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,12,534254,reduced_conditional,0.21489046119790234,0.21062050838014906,0.004269952817753275,3.175e-5,0.002553916,0.002585666,70000,240,26,6,15360,3072,1024
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,13,534255,current_indicator,0.2314453125,0.21062050838014906,0.020824804119850937,3.1708e-5,0.001522792,0.0015545000000000001,70000,266112,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,13,534255,reduced_conditional,0.21104117243133397,0.21062050838014906,0.0004206640511849047,3.475e-5,0.002542084,0.002576834,70000,240,26,6,15360,3072,1024
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,14,534256,current_indicator,0.1953125,0.21062050838014906,0.015308008380149063,3.1625e-5,0.0015535,0.001585125,70000,266112,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,14,534256,reduced_conditional,0.20733657077944737,0.21062050838014906,0.0032839376007016974,3.1666e-5,0.002504417,0.002536083,70000,240,26,6,15360,3072,1024
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,15,534257,current_indicator,0.2099609375,0.21062050838014906,0.000659570880149063,3.2417e-5,0.001561709,0.0015941260000000002,70000,266112,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,15,534257,reduced_conditional,0.20833691038903718,0.21062050838014906,0.0022835979911118853,3.6584e-5,0.002553,0.0025895840000000002,70000,240,26,6,15360,3072,1024
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,16,534258,current_indicator,0.2255859375,0.21062050838014906,0.014965429119850937,3.2666e-5,0.001502125,0.001534791,70000,266112,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,16,534258,reduced_conditional,0.21472575365084062,0.21062050838014906,0.00410524527069156,3.2084e-5,0.002553959,0.002586043,70000,240,26,6,15360,3072,1024
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,17,534259,current_indicator,0.2099609375,0.21062050838014906,0.000659570880149063,3.3542e-5,0.00151725,0.0015507919999999998,70000,266112,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,17,534259,reduced_conditional,0.20886838073631037,0.21062050838014906,0.0017521276438386968,3.4208e-5,0.002542041,0.002576249,70000,240,26,6,15360,3072,1024
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,18,534260,current_indicator,0.216796875,0.21062050838014906,0.006176366619850937,3.225e-5,0.001518375,0.001550625,70000,266112,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,18,534260,reduced_conditional,0.20845065611570834,0.21062050838014906,0.002169852264440719,3.1959e-5,0.00254225,0.0025742089999999996,70000,240,26,6,15360,3072,1024
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,19,534261,current_indicator,0.2021484375,0.21062050838014906,0.008472070880149063,3.2e-5,0.001498875,0.001530875,70000,266112,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,19,534261,reduced_conditional,0.20420855884208972,0.21062050838014906,0.006411949538059347,3.3625e-5,0.002523375,0.002557,70000,240,26,6,15360,3072,1024
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,20,534262,current_indicator,0.23046875,0.21062050838014906,0.019848241619850937,3.3042e-5,0.001565875,0.001598917,70000,266112,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,20,534262,reduced_conditional,0.21021362962414086,0.21062050838014906,0.0004068787560081999,3.2209e-5,0.002553375,0.002585584,70000,240,26,6,15360,3072,1024
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,21,534263,current_indicator,0.203125,0.21062050838014906,0.007495508380149063,3.2292e-5,0.00148825,0.001520542,70000,266112,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,21,534263,reduced_conditional,0.20782938051540692,0.21062050838014906,0.0027911278647421434,3.3e-5,0.002524125,0.002557125,70000,240,26,6,15360,3072,1024
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,22,534264,current_indicator,0.20703125,0.21062050838014906,0.003589258380149063,3.4625e-5,0.00150825,0.001542875,70000,266112,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,22,534264,reduced_conditional,0.20794462705853148,0.21062050838014906,0.0026758813216175847,3.1625e-5,0.002525833,0.002557458,70000,240,26,6,15360,3072,1024
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,23,534265,current_indicator,0.1982421875,0.21062050838014906,0.012378320880149063,3.1333e-5,0.001508792,0.0015401249999999998,70000,266112,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,23,534265,reduced_conditional,0.20686462033100173,0.21062050838014906,0.003755888049147338,3.4041e-5,0.002498084,0.0025321249999999997,70000,240,26,6,15360,3072,1024
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,24,534266,current_indicator,0.220703125,0.21062050838014906,0.010082616619850937,3.2375e-5,0.001523459,0.001555834,70000,266112,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,24,534266,reduced_conditional,0.21281749519314175,0.21062050838014906,0.002196986812992685,3.2083e-5,0.002510167,0.0025422500000000002,70000,240,26,6,15360,3072,1024
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,25,534267,current_indicator,0.2109375,0.21062050838014906,0.00031699161985093705,3.1542e-5,0.001530833,0.0015623750000000002,70000,266112,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,1024,25,534267,reduced_conditional,0.20707015195422232,0.21062050838014906,0.003550356425926743,3.4083e-5,0.002530875,0.002564958,70000,240,26,6,15360,3072,1024
