event,d,N,rep,seed,method,estimate,runtime_s,bytes,allocations,hfunc_calls,hinv_calls,pair_cdf_calls
joint_lower_10pct,10,1024,24,20360929,current_indicator,0.0068359375,0.015840291,11489792,4300,NaN,NaN,NaN
joint_lower_10pct,10,1024,24,20360929,reduced_conditional,0.004415291919524407,0.039995583,8308544,700,90112,28672,1024
joint_lower_10pct,10,1024,25,20360930,current_indicator,0.0029296875,0.015703709,11489792,4300,NaN,NaN,NaN
joint_lower_10pct,10,1024,25,20360930,reduced_conditional,0.004412349465820007,0.035636584,8308544,700,90112,28672,1024
joint_lower_10pct,10,1024,26,20360931,current_indicator,0.001953125,0.015962416,11489792,4300,NaN,NaN,NaN
joint_lower_10pct,10,1024,26,20360931,reduced_conditional,0.004402037739220372,0.035229416,8308544,700,90112,28672,1024
joint_lower_10pct,10,1024,27,20360932,current_indicator,0.0048828125,0.015674,11489792,4300,NaN,NaN,NaN
joint_lower_10pct,10,1024,27,20360932,reduced_conditional,0.004386412194490508,0.035124833,8308544,700,90112,28672,1024
joint_lower_10pct,10,1024,28,20360933,current_indicator,0.0048828125,0.015836167,11489792,4300,NaN,NaN,NaN
joint_lower_10pct,10,1024,28,20360933,reduced_conditional,0.004416058416137757,0.03509475,8308544,700,90112,28672,1024
joint_lower_10pct,10,1024,29,20360934,current_indicator,0.00390625,0.015745125,11489792,4300,NaN,NaN,NaN
joint_lower_10pct,10,1024,29,20360934,reduced_conditional,0.004391523735147758,0.035085167,8308544,700,90112,28672,1024
joint_lower_10pct,10,1024,30,20360935,current_indicator,0.0048828125,0.015690583,11489792,4300,NaN,NaN,NaN
joint_lower_10pct,10,1024,30,20360935,reduced_conditional,0.004402241079732691,0.035150375,8308544,700,90112,28672,1024
joint_lower_10pct,10,4096,1,20380906,current_indicator,0.00439453125,0.062108542,44857088,4360,NaN,NaN,NaN
joint_lower_10pct,10,4096,1,20380906,reduced_conditional,0.00441113013679212,0.14311425,32820032,748,360448,114688,4096
joint_lower_10pct,10,4096,2,20380907,current_indicator,0.00341796875,0.062073458,44857088,4360,NaN,NaN,NaN
joint_lower_10pct,10,4096,2,20380907,reduced_conditional,0.004406684375683899,0.143689333,32820032,748,360448,114688,4096
