case_id,d,conditioning_dimension,rho,event,rule,N,rep,seed,method,estimate,reference,abs_error,generation_time_s,evaluation_time_s,total_runtime_s,generation_bytes,evaluation_bytes,generation_allocations,evaluation_allocations,hfunc_calls,hinv_calls,pair_cdf_calls
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,10,20840761,current_indicator,0.57421875,0.5547860119171046,0.019432738082895362,0.005096208,0.025058417,0.030154624999999997,5657968,2591008,1620,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,11,20840762,current_indicator,0.53125,0.5547860119171046,0.023536011917104638,0.0049225,0.0250005,0.029922999999999998,5657968,2591008,1620,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,12,20840763,current_indicator,0.56640625,0.5547860119171046,0.011620238082895362,0.004850875,0.025492541,0.030343416,5657968,2591008,1620,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,13,20840764,current_indicator,0.546875,0.5547860119171046,0.007911011917104638,0.005033167,0.02527025,0.030303417,5657968,2591008,1620,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,14,20840765,current_indicator,0.53515625,0.5547860119171046,0.019629761917104638,0.005100916,0.024623875,0.029724791,5657968,2591008,1620,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,15,20840766,current_indicator,0.57421875,0.5547860119171046,0.019432738082895362,0.005029458,0.033215584,0.038245042,5657968,2591008,1620,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,16,20840767,current_indicator,0.57421875,0.5547860119171046,0.019432738082895362,0.005046917,0.024949916,0.029996833,5657968,2591008,1620,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,17,20840768,current_indicator,0.546875,0.5547860119171046,0.007911011917104638,0.005597042,0.02611875,0.031715792,5657968,2591008,1620,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,18,20840769,current_indicator,0.53515625,0.5547860119171046,0.019629761917104638,0.005384042,0.025167458,0.030551500000000002,5657968,2591008,1620,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,19,20840770,current_indicator,0.55078125,0.5547860119171046,0.004004761917104638,0.00495325,0.025506125,0.030459375,5657968,2591008,1620,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,20,20840771,current_indicator,0.56640625,0.5547860119171046,0.011620238082895362,0.004954,0.026188584,0.031142584,5657968,2591008,1620,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,21,20840772,current_indicator,0.546875,0.5547860119171046,0.007911011917104638,0.004939167,0.024853125,0.029792292,5657968,2591008,1620,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,22,20840773,current_indicator,0.5625,0.5547860119171046,0.007713988082895362,0.004905292,0.025479,0.030384292,5657968,2591008,1620,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,23,20840774,current_indicator,0.51171875,0.5547860119171046,0.04306726191710464,0.004887709,0.024850791,0.0297385,5657968,2591008,1620,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,24,20840775,current_indicator,0.53125,0.5547860119171046,0.023536011917104638,0.005773333,0.024734792,0.030508124999999997,5657968,2591008,1620,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,25,20840776,current_indicator,0.53515625,0.5547860119171046,0.019629761917104638,0.004834375,0.024695875,0.02953025,5657968,2591008,1620,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,26,20840777,current_indicator,0.546875,0.5547860119171046,0.007911011917104638,0.004847125,0.024486333,0.029333458,5657968,2591008,1620,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,27,20840778,current_indicator,0.55859375,0.5547860119171046,0.003807738082895362,0.00484475,0.025353042,0.030197792,5657968,2591008,1620,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,28,20840779,current_indicator,0.55078125,0.5547860119171046,0.004004761917104638,0.004843083,0.024542167,0.02938525,5657968,2591008,1620,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,29,20840780,current_indicator,0.54296875,0.5547860119171046,0.011817261917104638,0.004764583,0.024637625,0.029402208,5657968,2591008,1620,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,30,20840781,current_indicator,0.58203125,0.5547860119171046,0.027245238082895362,0.005464791,0.024597709,0.0300625,5657968,2591008,1620,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,2,20840753,reduced_conditional,0.5546670365901517,0.5547860119171046,0.00011897532695293034,0.004864209,0.264499208,0.269363417,5657968,17897248,1620,362847,126720,39168,256
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,3,20840754,reduced_conditional,0.5544507235499785,0.5547860119171046,0.00033528836712615195,0.004915458,0.025159625,0.030075083000000002,5657968,112,1620,2,126720,39168,256
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,4,20840755,reduced_conditional,0.5549294326197393,0.5547860119171046,0.00014342070263462237,0.004857,0.025067333,0.029924333,5657968,112,1620,2,126720,39168,256
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,5,20840756,reduced_conditional,0.5539959180019819,0.5547860119171046,0.0007900939151227471,0.0048385,0.025095166,0.029933665999999998,5657968,112,1620,2,126720,39168,256
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,6,20840757,reduced_conditional,0.5531930439989832,0.5547860119171046,0.0015929679181214684,0.004871333,0.025014958,0.029886291000000002,5657968,112,1620,2,126720,39168,256
