industry,transform,pattern_index,pattern,terminal_adjacent,integration_dimension,N,R,seed,model_probability,numerical_se,empirical_frequency,runtime_s
NoDur,absolute,7,1-3-2-4-5,false,3,4096,8,2040701,0.008548253682345141,2.5070757534821815e-7,0.00810234541577825,0.737627958
NoDur,absolute,8,1-3-2-5-4,false,3,4096,8,2040801,0.008576574197226686,4.3638564752913205e-7,0.004690831556503198,0.765399542
NoDur,absolute,9,1-3-4-2-5,false,3,4096,8,2040901,0.008674239648090467,2.3922879348045585e-7,0.009168443496801706,0.753719333
NoDur,absolute,10,1-3-4-5-2,false,3,4096,8,2041001,0.008545771760001441,2.786471567627691e-7,0.01023454157782516,0.913681667
NoDur,absolute,11,1-3-5-2-4,false,3,4096,8,2041101,0.00832251469741974,5.778430422462646e-7,0.008742004264392323,0.842984375
NoDur,absolute,12,1-3-5-4-2,false,3,4096,8,2041201,0.008317198235278964,1.238343764178496e-7,0.0070362473347547975,0.71016425
NoDur,absolute,13,1-4-2-3-5,false,3,4096,8,2041301,0.008433103944416539,1.2577716326175746e-7,0.008528784648187633,0.738758375
NoDur,absolute,14,1-4-2-5-3,false,3,4096,8,2041401,0.00834206018518699,5.291550895547407e-7,0.009168443496801706,0.736921459
NoDur,absolute,15,1-4-3-2-5,false,3,4096,8,2041501,0.00881620471278432,4.066829403952194e-7,0.008315565031982943,0.741146833
NoDur,absolute,16,1-4-3-5-2,false,3,4096,8,2041601,0.00846184114131197,5.296689283892518e-7,0.00511727078891258,0.742489708
NoDur,absolute,17,1-4-5-2-3,false,3,4096,8,2041701,0.008202719976792698,8.045423818820868e-7,0.008742004264392323,0.736654166
NoDur,absolute,18,1-4-5-3-2,false,3,4096,8,2041801,0.008055512416991307,1.1319809864900915e-7,0.00810234541577825,0.724271834
NoDur,absolute,19,1-5-2-3-4,false,3,4096,8,2041901,0.008348816962354975,5.892776065123268e-7,0.008528784648187633,0.825094166
NoDur,absolute,20,1-5-2-4-3,false,3,4096,8,2042001,0.008169452930473081,1.0076577031118318e-7,0.008955223880597015,0.821554083
NoDur,absolute,21,1-5-3-2-4,false,3,4096,8,2042101,0.008100451641267908,5.493799826593695e-7,0.008315565031982943,0.715529375
NoDur,absolute,22,1-5-3-4-2,false,3,4096,8,2042201,0.008255465934944514,5.520717795343555e-7,0.00788912579957356,0.799379667
NoDur,absolute,23,1-5-4-2-3,false,3,4096,8,2042301,0.00794582457000668,3.224612830098848e-7,0.010021321961620469,0.783966625
NoDur,absolute,24,1-5-4-3-2,false,3,4096,8,2042401,0.00818471695346242,3.3009216227133644e-7,0.009594882729211088,0.754710959
NoDur,absolute,25,2-1-3-4-5,true,4,4096,8,2042501,0.00877674677216575,4.789106018357563e-7,0.008528784648187633,1.20077675
NoDur,absolute,26,2-1-3-5-4,true,4,4096,8,2042601,0.008130114518995491,9.93820976112159e-7,0.008955223880597015,1.179192125
NoDur,absolute,27,2-1-4-3-5,true,4,4096,8,2042701,0.008719511096373145,6.130507266025402e-7,0.007249466950959489,1.13861425
NoDur,absolute,28,2-1-4-5-3,true,4,4096,8,2042801,0.008378730214337249,6.528792910274446e-7,0.0070362473347547975,1.122943042
NoDur,absolute,29,2-1-5-3-4,true,4,4096,8,2042901,0.007996887511678081,2.233538309339029e-6,0.008528784648187633,1.288077416
NoDur,absolute,30,2-1-5-4-3,true,4,4096,8,2043001,0.00820800114197483,4.059627925906297e-7,0.00788912579957356,1.072389583
NoDur,absolute,31,2-3-1-4-5,false,3,4096,8,2043101,0.008560006023745051,1.7976829410144194e-7,0.008528784648187633,0.782622959
NoDur,absolute,32,2-3-1-5-4,false,3,4096,8,2043201,0.008082058363850474,3.3000269293795223e-7,0.01023454157782516,0.77088325
NoDur,absolute,33,2-3-4-1-5,false,3,4096,8,2043301,0.008103064438093485,3.27217087808888e-7,0.00788912579957356,0.76696325
NoDur,absolute,34,2-3-4-5-1,false,3,4096,8,2043401,0.008039942443253812,3.0001943633186897e-7,0.00810234541577825,0.737052208
NoDur,absolute,35,2-3-5-1-4,false,3,4096,8,2043501,0.008071679541374468,3.7928155667406053e-7,0.006823027718550106,0.828444542
NoDur,absolute,36,2-3-5-4-1,false,3,4096,8,2043601,0.00838973245214482,9.143018932420132e-8,0.010660980810234541,0.831908875
NoDur,absolute,37,2-4-1-3-5,false,3,4096,8,2043701,0.008556048471130227,3.208174043691152e-7,0.0061833688699360345,0.770605584
NoDur,absolute,38,2-4-1-5-3,false,3,4096,8,2043801,0.008403591431979258,5.56450382874366e-7,0.00767590618336887,0.786365083
NoDur,absolute,39,2-4-3-1-5,false,3,4096,8,2043901,0.008159780548900254,3.8520219534648947e-7,0.007462686567164179,0.750702417
NoDur,absolute,40,2-4-3-5-1,false,3,4096,8,2044001,0.008126280190252733,7.305071233981009e-7,0.0061833688699360345,0.792952417
NoDur,absolute,41,2-4-5-1-3,false,3,4096,8,2044101,0.008331255800855562,5.596820074672694e-7,0.00810234541577825,0.788768541
NoDur,absolute,42,2-4-5-3-1,false,3,4096,8,2044201,0.008448237245389642,1.1091901161737782e-7,0.00788912579957356,0.78452025
NoDur,absolute,43,2-5-1-3-4,false,3,4096,8,2044301,0.008024368643989137,1.0382440087392752e-6,0.00810234541577825,0.803831375
NoDur,absolute,44,2-5-1-4-3,false,3,4096,8,2044401,0.008176966931091647,1.9064576555174545e-7,0.006823027718550106,0.873117125
NoDur,absolute,45,2-5-3-1-4,false,3,4096,8,2044501,0.008142640827692699,5.317620004200337e-7,0.009594882729211088,0.78345
NoDur,absolute,46,2-5-3-4-1,false,3,4096,8,2044601,0.008567363011791028,3.2715411633816114e-7,0.007462686567164179,0.745860167
NoDur,absolute,47,2-5-4-1-3,false,3,4096,8,2044701,0.008228247904725185,2.384686470487887e-7,0.00767590618336887,0.773060584
NoDur,absolute,48,2-5-4-3-1,false,3,4096,8,2044801,0.008490297135524145,2.552591336092123e-7,0.008955223880597015,0.770206583
NoDur,absolute,49,3-1-2-4-5,true,4,4096,8,2044901,0.008388759921453057,3.3051054493881725e-7,0.010874200426439232,1.786286167
NoDur,absolute,50,3-1-2-5-4,true,4,4096,8,2045001,0.008530745152839064,3.985448363033577e-6,0.009168443496801706,1.235798
NoDur,absolute,51,3-1-4-2-5,false,3,4096,8,2045101,0.008470923875770971,3.49135200155791e-7,0.010021321961620469,0.702461083
NoDur,absolute,52,3-1-4-5-2,false,3,4096,8,2045201,0.00845215261593739,1.9254418028680774e-7,0.00767590618336887,0.674190584
NoDur,absolute,53,3-1-5-2-4,false,3,4096,8,2045301,0.008327391365616747,4.878488131163145e-7,0.007462686567164179,0.713927208
NoDur,absolute,54,3-1-5-4-2,false,3,4096,8,2045401,0.00830619630117276,2.4254605349422984e-7,0.00788912579957356,0.693767667
NoDur,absolute,55,3-2-1-4-5,true,4,4096,8,2045501,0.008311083484521116,5.853276931652013e-7,0.00810234541577825,0.946657667
NoDur,absolute,56,3-2-1-5-4,true,4,4096,8,2045601,0.00830310786338078,3.2050173396186065e-6,0.00810234541577825,0.947532667
NoDur,absolute,57,3-2-4-1-5,false,3,4096,8,2045701,0.007761057016229682,3.8741677439216e-7,0.010660980810234541,0.706413125
NoDur,absolute,58,3-2-4-5-1,false,3,4096,8,2045801,0.007893046289042503,1.5401204379996263e-7,0.0070362473347547975,0.883536041
NoDur,absolute,59,3-2-5-1-4,false,3,4096,8,2045901,0.008400076821510678,8.996905321410918e-7,0.008315565031982943,0.707745542
NoDur,absolute,60,3-2-5-4-1,false,3,4096,8,2046001,0.008490336174535592,2.999689816469227e-7,0.005756929637526652,0.688796709
NoDur,absolute,61,3-4-1-2-5,true,4,4096,8,2046101,0.008275957258437239,1.2788044102091344e-6,0.008742004264392323,0.933098792
NoDur,absolute,62,3-4-1-5-2,false,3,4096,8,2046201,0.008197865792600467,8.358830372231674e-8,0.010874200426439232,0.679195875
NoDur,absolute,63,3-4-2-1-5,true,4,4096,8,2046301,0.007618751796468863,1.039776259696578e-6,0.00788912579957356,0.935500375
NoDur,absolute,64,3-4-2-5-1,false,3,4096,8,2046401,0.007864136797100428,1.1012591152900914e-7,0.010021321961620469,0.678005167
NoDur,absolute,65,3-4-5-1-2,true,4,4096,8,2046501,0.008000150238906076,5.924015551820007e-7,0.008528784648187633,0.888821542
NoDur,absolute,66,3-4-5-2-1,true,4,4096,8,2046601,0.008269065718915255,4.7469922087353805e-7,0.009168443496801706,0.928148417
NoDur,absolute,67,3-5-1-2-4,true,4,4096,8,2046701,0.008211103905564591,4.268005944450286e-6,0.0070362473347547975,0.951556375
NoDur,absolute,68,3-5-1-4-2,false,3,4096,8,2046801,0.008359942777593856,1.8867243976597744e-7,0.00810234541577825,0.699499167
NoDur,absolute,69,3-5-2-1-4,true,4,4096,8,2046901,0.008602297717788346,4.6281862481433985e-6,0.007462686567164179,0.952418375
NoDur,absolute,70,3-5-2-4-1,false,3,4096,8,2047001,0.008681555092754784,1.9611211542517403e-7,0.007462686567164179,0.695373041
NoDur,absolute,71,3-5-4-1-2,true,4,4096,8,2047101,0.008402530246719681,3.3473647217502793e-7,0.008528784648187633,0.907955709
NoDur,absolute,72,3-5-4-2-1,true,4,4096,8,2047201,0.008428823899544855,1.2313535008876857e-7,0.00810234541577825,0.904006708
NoDur,absolute,73,4-1-2-3-5,true,4,4096,8,2047301,0.008524859919092078,1.3052735449173957e-6,0.009381663113006396,0.922843209
NoDur,absolute,74,4-1-2-5-3,true,4,4096,8,2047401,0.008571665951384524,5.7941713966491884e-6,0.010874200426439232,0.937419542
NoDur,absolute,75,4-1-3-2-5,false,3,4096,8,2047501,0.008893651640063414,7.621692909536157e-7,0.0070362473347547975,0.898396459
NoDur,absolute,76,4-1-3-5-2,false,3,4096,8,2047601,0.008376439830452838,9.827820809462401e-7,0.00767590618336887,0.664797792
NoDur,absolute,77,4-1-5-2-3,false,3,4096,8,2047701,0.008397990046489097,1.6756444976898527e-6,0.010021321961620469,0.714410417
NoDur,absolute,78,4-1-5-3-2,false,3,4096,8,2047801,0.007961843128535945,1.290154440557699e-6,0.009168443496801706,0.696482917
NoDur,absolute,79,4-2-1-3-5,true,4,4096,8,2047901,0.008394407551378158,1.4075501580225403e-6,0.008742004264392323,0.917834875
NoDur,absolute,80,4-2-1-5-3,true,4,4096,8,2048001,0.00847483397495469,5.570986569541624e-6,0.0070362473347547975,0.939582875
