case_id,rule,N,method,n,bias,rmse,median_abs_error,median_total_runtime_s,median_evaluation_time_s,p90_abs_error,complete_paired_comparison,rmse_ratio_reduced_current,runtime_ratio_reduced_current
gaussian_moderate_d5,randomized_halton,256,current_indicator,30,-0.0009850917134823962,0.01155648425893564,0.004223241619850937,0.0009619385,0.000365167,0.019214258380149063,true,0.056117293437794875,1.2941965624621532
gaussian_moderate_d5,randomized_halton,256,reduced_conditional,30,4.803149056210876e-5,0.0006485186182679488,0.00044627095025634445,0.0012449375,0.000636938,0.001057226061390343,true,0.056117293437794875,1.2941965624621532
gaussian_moderate_d5,randomized_halton,1024,current_indicator,30,-0.0006921229634823963,0.00554161081171607,0.002612695880149063,0.002901688,0.001432313,0.010522852130149064,true,0.02973226925779309,1.395143275224628
gaussian_moderate_d5,randomized_halton,1024,reduced_conditional,30,-1.3069508861384322e-5,0.00016476466477583952,0.00011028957832961983,0.0040482705,0.002568562,0.0002851053178427043,true,0.02973226925779309,1.395143275224628
gaussian_moderate_d5,randomized_halton,4096,current_indicator,30,-0.0008386073384823963,0.002045460489353682,0.001220703125,0.009549895499999999,0.005583312,0.0034427740051490643,true,0.020574694328827362,1.4514208035051275
gaussian_moderate_d5,randomized_halton,4096,reduced_conditional,30,-9.883756342921047e-7,4.208472433014564e-5,3.242938494112113e-5,0.013860917,0.0102556045,6.923670389757663e-5,true,0.020574694328827362,1.4514208035051275
gaussian_moderate_d5,randomized_halton,16384,current_indicator,30,-4.460203065729621e-6,0.0008461702736033668,0.000720606036399063,0.033911438,0.0212570205,0.0013118646667259373,true,0.01483268466584552,1.5704300714113038
gaussian_moderate_d5,randomized_halton,16384,reduced_conditional,30,9.933901843423022e-7,1.2550976841970967e-5,8.97857459290774e-6,0.053255542,0.040818208499999994,1.937465417803652e-5,true,0.01483268466584552,1.5704300714113038
gaussian_moderate_d5,randomized_halton,65536,current_indicator,30,-8.020587180312955e-6,0.0003174486927472018,0.00019073486328125,0.1379325005,0.0824527915,0.00046883601686781306,true,0.009440565724165214,1.5501670434808075
gaussian_moderate_d5,randomized_halton,65536,reduced_conditional,30,4.7537827341792573e-7,2.9968952479302877e-6,2.2749568488189542e-6,0.2138184165,0.1629755,4.568078110106513e-6,true,0.009440565724165214,1.5501670434808075
gaussian_moderate_d5,shifted_lattice,256,current_indicator,30,-0.002808008380149063,0.010963101685334646,0.008129491619850937,0.0004089795,0.000365333,0.015308008380149063,true,0.057599320961705246,1.6684308137693944
gaussian_moderate_d5,shifted_lattice,256,reduced_conditional,30,-9.680949551569654e-6,0.000631467212709402,0.0005733074491911933,0.000682354,0.0006347915,0.0008644556698361838,true,0.057599320961705246,1.6684308137693944
gaussian_moderate_d5,shifted_lattice,1024,current_indicator,30,0.00012167911985093705,0.004342742255809709,0.002612695880149063,0.001558104,0.001439229,0.007284843295880751,true,0.039322379536796875,1.715479839599924
gaussian_moderate_d5,shifted_lattice,1024,reduced_conditional,30,-1.4966865208060343e-5,0.0001707669592134348,0.00014439650881890864,0.002672896,0.0025557915,0.0002626292244159889,true,0.039322379536796875,1.715479839599924
gaussian_moderate_d5,shifted_lattice,4096,current_indicator,30,0.0008296869323509371,0.0017847181781320606,0.000927343182350937,0.005967999999999999,0.005582146,0.003002538494850937,true,0.0327008042577394,1.7672830931635393
gaussian_moderate_d5,shifted_lattice,4096,reduced_conditional,30,8.459550177599325e-6,5.8361719798325794e-5,3.3423170489543796e-5,0.0105471455,0.010161479000000001,7.988446092308256e-5,true,0.0327008042577394,1.7672830931635393
gaussian_moderate_d5,shifted_lattice,16384,current_indicator,30,-0.00010415095827406295,0.0013218048181632262,0.000885009765625,0.0232068335,0.0216802705,0.0022738569677557495,true,0.025103549864880517,1.811347786849076
gaussian_moderate_d5,shifted_lattice,16384,reduced_conditional,30,1.037325592119868e-5,3.3181993164399875e-5,2.9196956004798325e-5,0.042035646499999996,0.0405899165,4.965740993156942e-5,true,0.025103549864880517,1.811347786849076
gaussian_moderate_d5,shifted_lattice,65536,current_indicator,30,9.37046732363537e-5,0.0011420750323913721,0.001002893634055313,0.09056816649999999,0.0834971665,0.001739110760475937,true,0.033162234354280395,1.8770132218586981
gaussian_moderate_d5,shifted_lattice,65536,reduced_conditional,30,-6.327834074772628e-7,3.787375987433505e-5,3.915979659992186e-5,0.169997646,0.1620635835,5.137431822443417e-5,true,0.033162234354280395,1.8770132218586981
gaussian_moderate_d5,sobol_owen,256,current_indicator,30,0.0004471999531842704,0.009003033689779715,0.007495508380149063,0.0016007705,0.0003636045,0.012362968295880756,true,0.012364390038105568,1.1718572399978635
gaussian_moderate_d5,sobol_owen,256,reduced_conditional,30,-9.790624220330317e-6,0.00011131702006664113,9.219451484179797e-5,0.0018758745,0.000635271,0.00019132555326734635,true,0.012364390038105568,1.1718572399978635
gaussian_moderate_d5,sobol_owen,1024,current_indicator,30,-0.0016035812968157295,0.004985439117810378,0.00341796875,0.006192,0.0014294375000000002,0.006714258380149066,true,0.004834548631196817,1.181934996770026
gaussian_moderate_d5,sobol_owen,1024,reduced_conditional,30,-6.288186789873048e-7,2.4102347862925233e-5,1.3142304630509027e-5,0.007318541499999999,0.0025550835000000003,3.993795140541379e-5,true,0.004834548631196817,1.181934996770026
