case_id,design,model,point,d,conditioning_dimension,N,method,n,reference,reference_uncertainty,reference_target_met,reference_split_half_z,reference_split_stable,reference_uncertainty_to_rmse,reference_resolved,median_abs_error,mean_abs_error,rmse,rmse_ci_low,rmse_ci_high,p90_abs_error,max_abs_error,median_runtime_s,runtime_ci_low_s,runtime_ci_high_s,median_bytes,median_allocations,median_hfunc_calls,median_hinv_calls,median_pair_cdf_calls
gaussian_rectangle_d10,gaussian_moderate,D,rectangle,10,8,1024,current_indicator,30,0.03564678480966582,6.311063846451901e-8,true,1.2141448891369224,true,1.5210889434504263e-5,true,0.0024436598096658213,0.003418118987311055,0.00414904327168136,0.0030544077982600695,0.005165697940515768,0.006447115347732658,0.010251652690334179,0.022272375,0.0221052505,0.022595394975,1.0885984e7,1225.0,NaN,NaN,NaN
gaussian_rectangle_d10,gaussian_moderate,D,rectangle,10,8,1024,reduced_conditional,30,0.03564678480966582,6.311063846451901e-8,true,1.2141448891369224,true,0.0038121917755348884,true,1.038820571640231e-5,1.3297191895467649e-5,1.6554948486468512e-5,1.2027545702109157e-5,2.085799014882897e-5,2.7729161056538892e-5,4.2735021640948057e-5,0.033375375,0.033273686999999996,0.033575125,8.308544e6,700.0,147456.0,28672.0,4096.0
gaussian_rectangle_d10,gaussian_moderate,D,rectangle,10,8,4096,current_indicator,30,0.03564678480966582,6.311063846451901e-8,true,1.2141448891369224,true,3.493377446730848e-5,true,0.0010963792528341787,0.0013423227255668357,0.00180657943285169,0.0012660370577944682,0.002320322758207879,0.0029522987147673433,0.005129206684665821,0.091743979,0.091483625,0.0920761245,4.2803296e7,1285.0,NaN,NaN,NaN
gaussian_rectangle_d10,gaussian_moderate,D,rectangle,10,8,4096,reduced_conditional,30,0.03564678480966582,6.311063846451901e-8,true,1.2141448891369224,true,0.0157164611374023,true,2.7062645912429018e-6,3.280357504461401e-6,4.015575638355841e-6,3.1429137172101316e-6,4.742488931598945e-6,6.6275165735318905e-6,7.438544401515423e-6,0.134771583,0.134504917,0.135013792,3.2820032e7,748.0,589824.0,114688.0,16384.0
gaussian_rectangle_d10,gaussian_moderate,D,rectangle,10,8,16384,current_indicator,30,0.03564678480966582,6.311063846451901e-8,true,1.2141448891369224,true,7.421811905804886e-5,true,0.0006996507372091787,0.0007407101331443881,0.0008503400418320725,0.0007045199231023026,0.0009785528084074794,0.001286038949142343,0.0014625901903341787,0.3779364165,0.3721807085,0.522081541,1.73745504e8,1345.0,NaN,NaN,NaN
gaussian_rectangle_d10,gaussian_moderate,D,rectangle,10,8,16384,reduced_conditional,30,0.03564678480966582,6.311063846451901e-8,true,1.2141448891369224,true,0.06458567060829153,true,4.786424554377444e-7,7.107203089093406e-7,9.771616191350168e-7,6.673236661884662e-7,1.3266995141221975e-6,1.4670979532283025e-6,3.2042839630541664e-6,0.5464291045,0.545951042,0.6356460071,1.33484352e8,796.0,2.359296e6,458752.0,65536.0
gaussian_rectangle_d10,gaussian_moderate,D,rectangle,10,8,65536,current_indicator,30,0.03564678480966582,6.311063846451901e-8,true,1.2141448891369224,true,0.0001707442755375352,true,0.00032806396484375,0.0003069098118362238,0.0003696208160761748,0.00029729944815063097,0.00043505564386857,0.000550565316329843,0.0007149095262716787,1.9968213335,1.9590404995,2.012266979,7.12452704e8,1405.0,NaN,NaN,NaN
gaussian_rectangle_d10,gaussian_moderate,D,rectangle,10,8,65536,reduced_conditional,30,0.03564678480966582,6.311063846451901e-8,true,1.2141448891369224,true,0.1979504393780217,true,1.9140010273227537e-7,2.3680793539473018e-7,3.188204010196612e-7,2.135073049625879e-7,4.2625211770046454e-7,4.201704408332564e-7,9.461841038727048e-7,2.597851896,2.5274452705,2.643527312,5.48197184e8,844.0,9.437184e6,1.835008e6,262144.0
gaussian_strong_d10,gaussian_strong,D,upper,10,8,256,current_indicator,30,0.5314609178667029,1.791622045017268e-6,false,0.7131170339809362,true,0.00017777709181453658,true,0.008023417866702909,0.008984375,0.010077912889284701,0.008413170267251987,0.011723172342542183,0.015414082133297091,0.01932033213329709,0.0056923335000000005,0.0055520625,0.005744792,2.987584e6,1163.0,NaN,NaN,NaN
gaussian_strong_d10,gaussian_strong,D,upper,10,8,256,reduced_conditional,30,0.5314609178667029,1.791622045017268e-6,false,0.7131170339809362,true,0.0005326475897832846,true,0.002432176651929685,0.0027596398154320022,0.0033636161683303877,0.002663069588483036,0.003946417029400402,0.0055617490386133395,0.005898006767979247,0.0072968124999999995,0.007226436812499999,0.0073685,2.245408e6,650.0,25600.0,7168.0,256.0
gaussian_strong_d10,gaussian_strong,D,upper,10,8,1024,current_indicator,30,0.5314609178667029,1.791622045017268e-6,false,0.7131170339809362,true,0.00036404266775852016,true,0.004117167866702909,0.00419921875,0.0049214616958188585,0.003977491901342928,0.005822827827674718,0.008023417866702909,0.010531269633297091,0.022614395500000002,0.0224488955,0.022995021499999997,1.0885984e7,1225.0,NaN,NaN,NaN
gaussian_strong_d10,gaussian_strong,D,upper,10,8,1024,reduced_conditional,30,0.5314609178667029,1.791622045017268e-6,false,0.7131170339809362,true,0.0023443128326827295,true,0.00040185243587820274,0.0005800142083917473,0.0007642418793429602,0.0005721572462975602,0.0009366854587644659,0.0011789552529658522,0.0016966254900082633,0.0285056255,0.028420624999999998,0.028752896,8.308544e6,700.0,102400.0,28672.0,1024.0
gaussian_strong_d10,gaussian_strong,D,upper,10,8,4096,current_indicator,30,0.5314609178667029,1.791622045017268e-6,false,0.7131170339809362,true,0.0008036284173543602,true,0.0011874803667029088,0.0016808619927729455,0.002229415991678716,0.001570973783055233,0.0028483322382997665,0.003653300679202909,0.006136738383297091,0.093247896,0.092678187,0.0936191455,4.2803296e7,1285.0,NaN,NaN,NaN
gaussian_strong_d10,gaussian_strong,D,upper,10,8,4096,reduced_conditional,30,0.5314609178667029,1.791622045017268e-6,false,0.7131170339809362,true,0.005503301295126185,true,0.00020229304166163864,0.0002715569109174698,0.000325554053637579,0.00025786572331929354,0.000385964468600173,0.0005365075074425408,0.0006273593023988777,0.11579587499999999,0.1155219995,0.11632250050000001,3.2820032e7,748.0,409600.0,114688.0,4096.0
gaussian_strong_d10,gaussian_strong,D,upper,10,8,16384,current_indicator,30,0.5314609178667029,1.791622045017268e-6,false,0.7131170339809362,true,0.002006712014525472,true,0.0005520215864220912,0.000701723951530194,0.0008928147297911772,0.000647938908216886,0.0011354457666451687,0.0012600293989220913,0.002474629008297091,0.385269646,0.379941396,0.4696693755,1.73745504e8,1345.0,NaN,NaN,NaN
gaussian_strong_d10,gaussian_strong,D,upper,10,8,16384,reduced_conditional,30,0.5314609178667029,1.791622045017268e-6,false,0.7131170339809362,true,0.009933133678291427,true,8.908904241194948e-5,0.00013147428662561392,0.00018036826071643488,0.00012137509422900445,0.00023202726872686142,0.0002872901800317519,0.0004568826238011692,0.471358667,0.468999791,0.5614091880000001,1.33484352e8,796.0,1.6384e6,458752.0,16384.0
gaussian_strong_d10,gaussian_strong,D,upper,10,8,65536,current_indicator,30,0.5314609178667029,1.791622045017268e-6,false,0.7131170339809362,true,0.00451003622235176,true,0.0002261766557654088,0.0003073906318031394,0.0003972522517974426,0.00029300103594940066,0.0004953861661360854,0.0006463343910185771,0.0009585985307654088,2.003212875,1.967176625,2.031162083,7.14025568e8,1405.0,NaN,NaN,NaN
gaussian_strong_d10,gaussian_strong,D,upper,10,8,65536,reduced_conditional,30,0.5314609178667029,1.791622045017268e-6,false,0.7131170339809362,true,0.027214634064183948,true,3.8173329854007676e-5,5.052644492030689e-5,6.583303823934739e-5,4.748219971273061e-5,8.21228857235472e-5,0.0001016605539692073,0.00016833122852133453,2.307085687,2.2153032505,2.3428795415000003,5.49770048e8,844.0,6.5536e6,1.835008e6,65536.0
