case_id,d,event,dependence,method,N_or_maxpts,replicate,seed,estimate,reference,abs_error,runtime_s,internal_error,inform,algorithm,nshifts
gaussian_moderate_d4,4,CDF,moderate,current_indicator,4096,23,271850,0.24365234375,0.24193572837980243,0.0017166153701975717,0.021378708,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,additionaldistributions,4096,24,729851,0.24192651979635885,0.24193572837980243,9.208583443581775e-6,0.000402458,2.7837221613523293e-5,1,mvsort_rqmc,10
gaussian_moderate_d4,4,CDF,moderate,current_indicator,4096,24,271851,0.24169921875,0.24193572837980243,0.0002365096298024283,0.021088708,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,reduced_conditional,4096,24,271851,0.24193538525692015,0.24193572837980243,3.4312288227367205e-7,0.014935875,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,current_indicator,4096,25,271852,0.240478515625,0.24193572837980243,0.0014572127548024283,0.022105541,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,reduced_conditional,4096,25,271852,0.2419352975604235,0.24193572837980243,4.30819378921532e-7,0.015198041,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,additionaldistributions,4096,25,729852,0.2419256481468744,0.24193572837980243,1.0080232928033617e-5,0.000389166,1.6635799036810048e-5,1,mvsort_rqmc,10
gaussian_moderate_d4,4,CDF,moderate,reduced_conditional,4096,26,271853,0.2419331298557242,0.24193572837980243,2.598524078217812e-6,0.013845916,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,additionaldistributions,4096,26,729853,0.24194260992606176,0.24193572837980243,6.881546259329685e-6,0.000377667,3.256631054191491e-5,1,mvsort_rqmc,10
gaussian_moderate_d4,4,CDF,moderate,current_indicator,4096,26,271853,0.2421875,0.24193572837980243,0.0002517716201975717,0.02143825,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,additionaldistributions,4096,27,729854,0.24192452252772836,0.24193572837980243,1.1205852074064326e-5,0.000384916,1.2940388705899827e-5,1,mvsort_rqmc,10
gaussian_moderate_d4,4,CDF,moderate,current_indicator,4096,27,271854,0.245849609375,0.24193572837980243,0.003913880995197572,0.02267625,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,reduced_conditional,4096,27,271854,0.24193557922572337,0.24193572837980243,1.4915407905990996e-7,0.013904459,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,current_indicator,4096,28,271855,0.2421875,0.24193572837980243,0.0002517716201975717,0.021845041,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,reduced_conditional,4096,28,271855,0.24193505672355653,0.24193572837980243,6.716562458985997e-7,0.014454583,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,additionaldistributions,4096,28,729855,0.24192484220094546,0.24193572837980243,1.0886178856972517e-5,0.000393083,2.520944880841974e-5,1,mvsort_rqmc,10
gaussian_moderate_d4,4,CDF,moderate,reduced_conditional,4096,29,271856,0.2419351460490289,0.24193572837980243,5.823307735186578e-7,0.013645042,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,additionaldistributions,4096,29,729856,0.24193187960087145,0.24193572837980243,3.848778930976016e-6,0.0004055,2.8740109232342395e-5,1,mvsort_rqmc,10
gaussian_moderate_d4,4,CDF,moderate,current_indicator,4096,29,271856,0.240234375,0.24193572837980243,0.0017013533798024283,0.219846333,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,additionaldistributions,4096,30,729857,0.2419329132286086,0.24193572837980243,2.8151511938245832e-6,0.000406125,1.702307079247174e-5,1,mvsort_rqmc,10
gaussian_moderate_d4,4,CDF,moderate,current_indicator,4096,30,271857,0.2412109375,0.24193572837980243,0.0007247908798024283,0.020359375,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,reduced_conditional,4096,30,271857,0.24193794928970902,0.24193572837980243,2.2209099065917393e-6,0.014162125,NaN,-1,,1
gaussian_rectangle_d5,5,interior,moderate,current_indicator,4096,1,271828,0.12646484375,0.12616033132518825,0.0003045124248117481,0.028197042,NaN,-1,,1
