"case_id","d","event","dependence","method","N_or_maxpts","replicate","seed","estimate","reference","abs_error","runtime_s","internal_error","status","algorithm"
"gaussian_rectangle_d5",5,"interior","moderate","mvtnorm_genzbretz",4096,18,829845,0.126162208394432,0.126160331325188,1.87706924367759e-06,0.00099999999999989,2.74520815297486e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_rectangle_d5",5,"interior","moderate","mvtnorm_genzbretz",4096,19,829846,0.12616354920834,0.126160331325188,3.2178831521068e-06,0.00100000000000011,1.94684060783502e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_rectangle_d5",5,"interior","moderate","mvtnorm_genzbretz",4096,20,829847,0.126167864307466,0.126160331325188,7.53298227748611e-06,0.00099999999999989,2.87544088175073e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_rectangle_d5",5,"interior","moderate","mvtnorm_genzbretz",4096,21,829848,0.126162440997792,0.126160331325188,2.1096726041947e-06,0.00099999999999989,1.298693290357e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_rectangle_d5",5,"interior","moderate","mvtnorm_genzbretz",4096,22,829849,0.126168444656177,0.126160331325188,8.11333098876821e-06,0.00099999999999989,2.17354895791037e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_rectangle_d5",5,"interior","moderate","mvtnorm_genzbretz",4096,23,829850,0.126163206713534,0.126160331325188,2.87538834542467e-06,0.00100000000000011,2.87555224465718e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_rectangle_d5",5,"interior","moderate","mvtnorm_genzbretz",4096,24,829851,0.126174788944348,0.126160331325188,1.44576191594969e-05,0.00099999999999989,2.39957228734251e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_rectangle_d5",5,"interior","moderate","mvtnorm_genzbretz",4096,25,829852,0.126159678190616,0.126160331325188,6.53134572176084e-07,0.00100000000000011,1.21787143451337e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_rectangle_d5",5,"interior","moderate","mvtnorm_genzbretz",4096,26,829853,0.126168055106945,0.126160331325188,7.72378175714628e-06,0.00099999999999989,1.66555069454368e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_rectangle_d5",5,"interior","moderate","mvtnorm_genzbretz",4096,27,829854,0.126169173624275,0.126160331325188,8.84229908665324e-06,0.00099999999999989,2.24268715580587e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_rectangle_d5",5,"interior","moderate","mvtnorm_genzbretz",4096,28,829855,0.126156777801746,0.126160331325188,3.55352344202919e-06,0.00100000000000011,1.59657747260851e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_rectangle_d5",5,"interior","moderate","mvtnorm_genzbretz",4096,29,829856,0.126168083828606,0.126160331325188,7.752503418057e-06,0.00100000000000011,1.65059981761299e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_rectangle_d5",5,"interior","moderate","mvtnorm_genzbretz",4096,30,829857,0.126153879016823,0.126160331325188,6.45230836504584e-06,0.00099999999999989,1.61969542836984e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d4",4,"CDF","strong","mvtnorm_genzbretz",4096,1,829828,0.588353368252462,0.588251634836868,0.000101733415594163,0.00099999999999989,0.000206965655307751,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d4",4,"CDF","strong","mvtnorm_genzbretz",4096,2,829829,0.588129870915824,0.588251634836868,0.000121763921043794,0.00100000000000011,0.000335679089627361,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d4",4,"CDF","strong","mvtnorm_genzbretz",4096,3,829830,0.588276776131067,0.588251634836868,2.51412941985052e-05,0.00099999999999989,0.000303885014642776,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d4",4,"CDF","strong","mvtnorm_genzbretz",4096,4,829831,0.5882418821948,0.588251634836868,9.75264206848347e-06,0.00099999999999989,0.000210048029025232,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d4",4,"CDF","strong","mvtnorm_genzbretz",4096,5,829832,0.588373205946397,0.588251634836868,0.000121571109528484,0.00099999999999989,0.000202919468459221,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d4",4,"CDF","strong","mvtnorm_genzbretz",4096,6,829833,0.58826353969937,0.588251634836868,1.19048625017992e-05,0.00100000000000011,0.000382897723305958,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d4",4,"CDF","strong","mvtnorm_genzbretz",4096,7,829834,0.588226685437967,0.588251634836868,2.49493989017413e-05,0.00100000000000011,0.000204613524086981,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d4",4,"CDF","strong","mvtnorm_genzbretz",4096,8,829835,0.588371557544274,0.588251634836868,0.000119922707405351,0.00099999999999989,0.000270696239224265,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d4",4,"CDF","strong","mvtnorm_genzbretz",4096,9,829836,0.588119708165906,0.588251634836868,0.000131926670962623,0.002,0.00029032276358609,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d4",4,"CDF","strong","mvtnorm_genzbretz",4096,10,829837,0.58818233852603,0.588251634836868,6.9296310838407e-05,0.00100000000000011,0.000295618098810529,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d4",4,"CDF","strong","mvtnorm_genzbretz",4096,11,829838,0.588119132952696,0.588251634836868,0.000132501884171798,0.00099999999999989,0.000337703594367218,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d4",4,"CDF","strong","mvtnorm_genzbretz",4096,12,829839,0.588233453636452,0.588251634836868,1.81812004165227e-05,0.00099999999999989,0.000282524053206726,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d4",4,"CDF","strong","mvtnorm_genzbretz",4096,13,829840,0.588215373239508,0.588251634836868,3.62615973599212e-05,0.00100000000000011,0.000331459141903315,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d4",4,"CDF","strong","mvtnorm_genzbretz",4096,14,829841,0.588042002251432,0.588251634836868,0.000209632585436714,0.00099999999999989,0.000343012584280228,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d4",4,"CDF","strong","mvtnorm_genzbretz",4096,15,829842,0.588243071105242,0.588251634836868,8.56373162638757e-06,0.00100000000000011,0.000313587259573758,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d4",4,"CDF","strong","mvtnorm_genzbretz",4096,16,829843,0.588279618920152,0.588251634836868,2.79840832834166e-05,0.00099999999999989,0.000317181574464141,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d4",4,"CDF","strong","mvtnorm_genzbretz",4096,17,829844,0.588292731134181,0.588251634836868,4.10962973125262e-05,0.002,0.00028155765568276,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d4",4,"CDF","strong","mvtnorm_genzbretz",4096,18,829845,0.588197575256683,0.588251634836868,5.40595801850063e-05,0.00100000000000011,0.000275544384071712,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d4",4,"CDF","strong","mvtnorm_genzbretz",4096,19,829846,0.588194006826551,0.588251634836868,5.76280103173898e-05,0.00100000000000011,0.000265770909723,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d4",4,"CDF","strong","mvtnorm_genzbretz",4096,20,829847,0.588243707194542,0.588251634836868,7.92764232593335e-06,0.00100000000000011,0.000276685787870762,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d4",4,"CDF","strong","mvtnorm_genzbretz",4096,21,829848,0.588186373945883,0.588251634836868,6.52608909853525e-05,0.00099999999999989,0.000302466840984448,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d4",4,"CDF","strong","mvtnorm_genzbretz",4096,22,829849,0.588196246171575,0.588251634836868,5.53886652928659e-05,0.00100000000000011,0.000238410499024566,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d4",4,"CDF","strong","mvtnorm_genzbretz",4096,23,829850,0.587989810123247,0.588251634836868,0.000261824713621683,0.00100000000000011,0.00023241416635864,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d4",4,"CDF","strong","mvtnorm_genzbretz",4096,24,829851,0.588365833118813,0.588251634836868,0.000114198281945144,0.00099999999999989,0.00018828639697841,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d4",4,"CDF","strong","mvtnorm_genzbretz",4096,25,829852,0.588091821950561,0.588251634836868,0.000159812886306843,0.00099999999999989,0.000242849687698775,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d4",4,"CDF","strong","mvtnorm_genzbretz",4096,26,829853,0.588336775740714,0.588251634836868,8.51409038461481e-05,0.002,0.000144263672312031,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d4",4,"CDF","strong","mvtnorm_genzbretz",4096,27,829854,0.587998602105853,0.588251634836868,0.000253032731015734,0.002,0.000362248224019125,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d4",4,"CDF","strong","mvtnorm_genzbretz",4096,28,829855,0.58832490855035,0.588251634836868,7.32737134814254e-05,0.00100000000000011,0.000221516268203071,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d4",4,"CDF","strong","mvtnorm_genzbretz",4096,29,829856,0.588202213049728,0.588251634836868,4.94217871400693e-05,0.002,0.000349371854539238,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d4",4,"CDF","strong","mvtnorm_genzbretz",4096,30,829857,0.588114667092406,0.588251634836868,0.000136967744462591,0.00099999999999989,0.00033131850450972,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d5",5,"CDF","strong","mvtnorm_genzbretz",4096,1,829828,0.574628561955655,0.574665774993617,3.72130379616697e-05,0.00099999999999989,0.000951008557216047,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d5",5,"CDF","strong","mvtnorm_genzbretz",4096,2,829829,0.574271297780968,0.574665774993617,0.000394477212648958,0.00100000000000011,0.000846312206976353,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d5",5,"CDF","strong","mvtnorm_genzbretz",4096,3,829830,0.575025279741225,0.574665774993617,0.000359504747608486,0.00100000000000011,0.00129256539731488,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d5",5,"CDF","strong","mvtnorm_genzbretz",4096,4,829831,0.574311126158871,0.574665774993617,0.000354648834745674,0,0.000566440886146288,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d5",5,"CDF","strong","mvtnorm_genzbretz",4096,5,829832,0.575123737501219,0.574665774993617,0.000457962507601883,0.00099999999999989,0.00135347238379379,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d5",5,"CDF","strong","mvtnorm_genzbretz",4096,6,829833,0.574693230301198,0.574665774993617,2.74553075810813e-05,0.00100000000000033,0.00100952361770673,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d5",5,"CDF","strong","mvtnorm_genzbretz",4096,7,829834,0.574825783436547,0.574665774993617,0.000160008442929849,0.00099999999999989,0.00135643333404813,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d5",5,"CDF","strong","mvtnorm_genzbretz",4096,8,829835,0.574508330534694,0.574665774993617,0.000157444458922851,0.00099999999999989,0.00106180158104906,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d5",5,"CDF","strong","mvtnorm_genzbretz",4096,9,829836,0.575236327105502,0.574665774993617,0.000570552111884615,0.00099999999999989,0.0015319798515249,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d5",5,"CDF","strong","mvtnorm_genzbretz",4096,10,829837,0.574720415083566,0.574665774993617,5.4640089949487e-05,0.00099999999999989,0.00108873598077181,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d5",5,"CDF","strong","mvtnorm_genzbretz",4096,11,829838,0.574186266474252,0.574665774993617,0.000479508519364513,0.00100000000000033,0.00147238036462272,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d5",5,"CDF","strong","mvtnorm_genzbretz",4096,12,829839,0.573982577273711,0.574665774993617,0.000683197719905548,0.00099999999999989,0.00146036280610834,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d5",5,"CDF","strong","mvtnorm_genzbretz",4096,13,829840,0.574570213994172,0.574665774993617,9.55609994449658e-05,0.00099999999999989,0.00142518978961662,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d5",5,"CDF","strong","mvtnorm_genzbretz",4096,14,829841,0.574526457328301,0.574665774993617,0.000139317665315941,0.00099999999999989,0.00108222201678215,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d5",5,"CDF","strong","mvtnorm_genzbretz",4096,15,829842,0.574626264282682,0.574665774993617,3.95107109346648e-05,0.00100000000000033,0.00112234669683437,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d5",5,"CDF","strong","mvtnorm_genzbretz",4096,16,829843,0.575034973647001,0.574665774993617,0.000369198653384251,0.00100000000000033,0.000790653025920376,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d5",5,"CDF","strong","mvtnorm_genzbretz",4096,17,829844,0.575459478008032,0.574665774993617,0.000793703014415281,0.00099999999999989,0.00168582725481619,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d5",5,"CDF","strong","mvtnorm_genzbretz",4096,18,829845,0.574189008780414,0.574665774993617,0.000476766213203361,0.00100000000000033,0.001268843706674,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d5",5,"CDF","strong","mvtnorm_genzbretz",4096,19,829846,0.574652911864933,0.574665774993617,1.28631286836489e-05,0.00099999999999989,0.00116099479466132,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d5",5,"CDF","strong","mvtnorm_genzbretz",4096,20,829847,0.574419921895044,0.574665774993617,0.00024585309857339,0.00099999999999989,0.0011348928623651,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d5",5,"CDF","strong","mvtnorm_genzbretz",4096,21,829848,0.575195801888691,0.574665774993617,0.000530026895073976,0.00099999999999989,0.00119023493678334,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d5",5,"CDF","strong","mvtnorm_genzbretz",4096,22,829849,0.574830612644935,0.574665774993617,0.000164837651317584,0.00099999999999989,0.00175161047463781,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d5",5,"CDF","strong","mvtnorm_genzbretz",4096,23,829850,0.575048007116364,0.574665774993617,0.00038223212274735,0.00099999999999989,0.000960281367043377,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d5",5,"CDF","strong","mvtnorm_genzbretz",4096,24,829851,0.575024160424762,0.574665774993617,0.00035838543114497,0.00099999999999989,0.00148824337920613,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d5",5,"CDF","strong","mvtnorm_genzbretz",4096,25,829852,0.574475662616469,0.574665774993617,0.000190112377148166,0.00099999999999989,0.00169890751557907,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d5",5,"CDF","strong","mvtnorm_genzbretz",4096,26,829853,0.574369692095941,0.574665774993617,0.000296082897676242,0.00099999999999989,0.0011165444495074,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d5",5,"CDF","strong","mvtnorm_genzbretz",4096,27,829854,0.574347248447366,0.574665774993617,0.00031852654625053,0.00099999999999989,0.000802231056484299,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d5",5,"CDF","strong","mvtnorm_genzbretz",4096,28,829855,0.574009482581309,0.574665774993617,0.000656292412307802,0,0.00114313036583967,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d5",5,"CDF","strong","mvtnorm_genzbretz",4096,29,829856,0.574536076079927,0.574665774993617,0.000129698913689968,0.00099999999999989,0.00106519690941138,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_strong_d5",5,"CDF","strong","mvtnorm_genzbretz",4096,30,829857,0.575191484681031,0.574665774993617,0.000525709687414055,0.00099999999999989,0.00137334336850281,"Completion with error > abseps","mvtnorm::GenzBretz"
